dataset,model,model_id,train_size,interface,rank,updates,em,f1,answer_contained,avg_prompt_tokens,truncated_count,final_eval_loss,elapsed_seconds,summary_path,eval_summary_path
2WikiMultiHopQA,1B,meta-llama/Llama-3.2-1B-Instruct,500,raw_context,8,32,0.27,0.33465079365079364,0.28,1007.9733333333334,0,0.8186787929665297,86.62743043899536,experiments/outputs/rank_sweep/2wiki_1b_r8_n500_summary.json,experiments/outputs/smoke_test_2wiki_1b/raw_context_lora_r8_n500_eval300/summary.json
2WikiMultiHopQA,1B,meta-llama/Llama-3.2-1B-Instruct,500,raw_support_first,8,32,0.35333333333333333,0.42482804232804233,0.38333333333333336,1007.9733333333334,0,0.6643273159617092,107.4431562423706,experiments/outputs/rank_sweep/2wiki_1b_r8_n500_summary.json,experiments/outputs/smoke_test_2wiki_1b/raw_support_first_lora_r8_n500_eval300/summary.json
2WikiMultiHopQA,1B,meta-llama/Llama-3.2-1B-Instruct,500,gold_supporting_sentences,8,32,0.44333333333333336,0.5042037037037037,0.49,154.62333333333333,0,0.38881542447954415,56.575780153274536,experiments/outputs/rank_sweep/2wiki_1b_r8_n500_summary.json,experiments/outputs/smoke_test_2wiki_1b/gold_lora_r8_n500_eval300/summary.json
2WikiMultiHopQA,1B,meta-llama/Llama-3.2-1B-Instruct,500,gold_evidence_triples,8,32,0.72,0.727989417989418,0.7233333333333334,104.80666666666667,0,0.1073835382075049,22.999781608581543,experiments/outputs/rank_sweep/2wiki_1b_r8_n500_summary.json,experiments/outputs/smoke_test_2wiki_1b/gold_triples_lora_r8_n500_eval300/summary.json
2WikiMultiHopQA,1B,meta-llama/Llama-3.2-1B-Instruct,1000,raw_context,8,63,0.3433333333333333,0.4083658008658009,0.37,1007.9733333333334,0,0.7221207508817316,214.57209491729736,experiments/outputs/rank_sweep/2wiki_1b_r8_n1000_summary.json,experiments/outputs/smoke_test_2wiki_1b/raw_context_lora_r8_n1000_eval300/summary.json
2WikiMultiHopQA,1B,meta-llama/Llama-3.2-1B-Instruct,1000,raw_support_first,8,63,0.41,0.4686031746031746,0.44333333333333336,1007.9733333333334,0,0.5842219842365012,189.88090348243713,experiments/outputs/rank_sweep/2wiki_1b_r8_n1000_summary.json,experiments/outputs/smoke_test_2wiki_1b/raw_support_first_lora_r8_n1000_eval300/summary.json
2WikiMultiHopQA,1B,meta-llama/Llama-3.2-1B-Instruct,1000,gold_supporting_sentences,8,63,0.4766666666666667,0.5327910052910053,0.5166666666666667,154.62333333333333,0,0.3334131871955469,76.99285578727722,experiments/outputs/rank_sweep/2wiki_1b_r8_n1000_summary.json,experiments/outputs/smoke_test_2wiki_1b/gold_lora_r8_n1000_eval300/summary.json
2WikiMultiHopQA,1B,meta-llama/Llama-3.2-1B-Instruct,1000,gold_evidence_triples,8,63,0.7566666666666667,0.7614814814814815,0.7566666666666667,104.80666666666667,0,0.08012313051032834,40.39265751838684,experiments/outputs/rank_sweep/2wiki_1b_r8_n1000_summary.json,experiments/outputs/smoke_test_2wiki_1b/gold_triples_lora_r8_n1000_eval300/summary.json
2WikiMultiHopQA,1B,meta-llama/Llama-3.2-1B-Instruct,2000,raw_context,8,125,0.37,0.43093722943722945,0.3933333333333333,1007.9733333333334,0,0.5674229489604476,431.8311107158661,experiments/outputs/rank_sweep/2wiki_1b_r8_n2000_summary.json,experiments/outputs/smoke_test_2wiki_1b/raw_context_lora_r8_n2000_eval300/summary.json
2WikiMultiHopQA,1B,meta-llama/Llama-3.2-1B-Instruct,2000,raw_support_first,8,125,0.41,0.4778624338624339,0.43666666666666665,1007.9733333333334,0,0.4973136047992739,291.0976531505585,experiments/outputs/rank_sweep/2wiki_1b_r8_n2000_summary.json,experiments/outputs/smoke_test_2wiki_1b/raw_support_first_lora_r8_n2000_eval300/summary.json
2WikiMultiHopQA,1B,meta-llama/Llama-3.2-1B-Instruct,2000,gold_supporting_sentences,8,125,0.5,0.5566560846560846,0.54,154.62333333333333,0,0.258041134274099,143.89568257331848,experiments/outputs/rank_sweep/2wiki_1b_r8_n2000_summary.json,experiments/outputs/smoke_test_2wiki_1b/gold_lora_r8_n2000_eval300/summary.json
2WikiMultiHopQA,1B,meta-llama/Llama-3.2-1B-Instruct,2000,gold_evidence_triples,8,125,0.7733333333333333,0.7800925925925926,0.7766666666666666,104.80666666666667,0,0.0604948887010687,71.96072793006897,experiments/outputs/rank_sweep/2wiki_1b_r8_n2000_summary.json,experiments/outputs/smoke_test_2wiki_1b/gold_triples_lora_r8_n2000_eval300/summary.json
2WikiMultiHopQA,3B,meta-llama/Llama-3.2-3B-Instruct,500,raw_context,8,32,0.38,0.45660894660894663,0.45666666666666667,1007.9733333333334,0,0.572372477115132,179.02158379554749,experiments/outputs/rank_sweep/2wiki_3b_r8_n500_summary.json,experiments/outputs/smoke_test_2wiki_3b/raw_context_lora_r8_n500_eval300/summary.json
2WikiMultiHopQA,3B,meta-llama/Llama-3.2-3B-Instruct,500,raw_support_first,8,32,0.5,0.5730580878816173,0.57,1007.9733333333334,0,0.44814928811159915,144.93570470809937,experiments/outputs/rank_sweep/2wiki_3b_r8_n500_summary.json,experiments/outputs/smoke_test_2wiki_3b/raw_support_first_lora_r8_n500_eval300/summary.json
2WikiMultiHopQA,3B,meta-llama/Llama-3.2-3B-Instruct,500,gold_supporting_sentences,8,32,0.6033333333333334,0.6789259259259259,0.7,154.62333333333333,0,0.24179526503197848,103.69101691246033,experiments/outputs/rank_sweep/2wiki_3b_r8_n500_summary.json,experiments/outputs/smoke_test_2wiki_3b/gold_lora_r8_n500_eval300/summary.json
2WikiMultiHopQA,3B,meta-llama/Llama-3.2-3B-Instruct,500,gold_evidence_triples,8,32,0.93,0.9333333333333333,0.93,104.80666666666667,0,0.04210725010139868,48.41826128959656,experiments/outputs/rank_sweep/2wiki_3b_r8_n500_summary.json,experiments/outputs/smoke_test_2wiki_3b/gold_triples_lora_r8_n500_eval300/summary.json
2WikiMultiHopQA,3B,meta-llama/Llama-3.2-3B-Instruct,1000,raw_context,8,63,0.4066666666666667,0.476021645021645,0.45,1007.9733333333334,0,0.5230798309738748,362.3073318004608,experiments/outputs/rank_sweep/2wiki_3b_r8_n1000_summary.json,experiments/outputs/smoke_test_2wiki_3b/raw_context_lora_r8_n1000_eval300/summary.json
2WikiMultiHopQA,3B,meta-llama/Llama-3.2-3B-Instruct,1000,raw_support_first,8,63,0.55,0.6166666666666667,0.5933333333333334,1007.9733333333334,0,0.40269300738582386,345.1447775363922,experiments/outputs/rank_sweep/2wiki_3b_r8_n1000_summary.json,experiments/outputs/smoke_test_2wiki_3b/raw_support_first_lora_r8_n1000_eval300/summary.json
2WikiMultiHopQA,3B,meta-llama/Llama-3.2-3B-Instruct,1000,gold_supporting_sentences,8,63,0.6633333333333333,0.7305,0.71,154.62333333333333,0,0.19069551051827147,131.4810814857483,experiments/outputs/rank_sweep/2wiki_3b_r8_n1000_summary.json,experiments/outputs/smoke_test_2wiki_3b/gold_lora_r8_n1000_eval300/summary.json
2WikiMultiHopQA,3B,meta-llama/Llama-3.2-3B-Instruct,1000,gold_evidence_triples,8,63,0.9766666666666667,0.9811904761904762,0.9766666666666667,104.80666666666667,0,0.009119713812833653,71.5280454158783,experiments/outputs/rank_sweep/2wiki_3b_r8_n1000_summary.json,experiments/outputs/smoke_test_2wiki_3b/gold_triples_lora_r8_n1000_eval300/summary.json
2WikiMultiHopQA,3B,meta-llama/Llama-3.2-3B-Instruct,2000,raw_context,8,125,0.5166666666666667,0.5773253968253969,0.5566666666666666,1007.9733333333334,0,0.3796981938346289,578.4103181362152,experiments/outputs/rank_sweep/2wiki_3b_r8_n2000_summary.json,experiments/outputs/smoke_test_2wiki_3b/raw_context_lora_r8_n2000_eval300/summary.json
2WikiMultiHopQA,3B,meta-llama/Llama-3.2-3B-Instruct,2000,raw_support_first,8,125,0.5766666666666667,0.6441904761904762,0.6133333333333333,1007.9733333333334,0,0.28553875821060504,460.7514216899872,experiments/outputs/rank_sweep/2wiki_3b_r8_n2000_summary.json,experiments/outputs/smoke_test_2wiki_3b/raw_support_first_lora_r8_n2000_eval300/summary.json
2WikiMultiHopQA,3B,meta-llama/Llama-3.2-3B-Instruct,2000,gold_supporting_sentences,8,125,0.74,0.7930343915343915,0.78,154.62333333333333,0,0.1484409178281203,240.64925336837769,experiments/outputs/rank_sweep/2wiki_3b_r8_n2000_summary.json,experiments/outputs/smoke_test_2wiki_3b/gold_lora_r8_n2000_eval300/summary.json
2WikiMultiHopQA,3B,meta-llama/Llama-3.2-3B-Instruct,2000,gold_evidence_triples,8,125,0.9866666666666667,0.9895238095238095,0.9866666666666667,104.80666666666667,0,0.002092220727208769,140.28795409202576,experiments/outputs/rank_sweep/2wiki_3b_r8_n2000_summary.json,experiments/outputs/smoke_test_2wiki_3b/gold_triples_lora_r8_n2000_eval300/summary.json
