model_label,interface_name,interface_label,active_dim,n,seeds,eval_loss_mean,em_mean,em_sd,f1_mean,f1_sd
Llama-3.2-1B,raw_context,Raw context,65536,3,"101,202,303",1.30132,0.146667,0.005774,0.226534,0.008253
Llama-3.2-1B,raw_context,Raw context,131072,1,101,1.195914,0.16,0.0,0.240161,0.0
Llama-3.2-1B,raw_context,Raw context,262144,3,"101,202,303",1.108552,0.183333,0.003334,0.265241,0.00492
Llama-3.2-1B,raw_context,Raw context,524288,1,101,1.044927,0.196667,0.0,0.282777,0.0
Llama-3.2-1B,raw_support_first,Support first,65536,2,"101,202",1.0583615,0.243333,0.004714,0.343588,0.002761
Llama-3.2-1B,raw_support_first,Support first,262144,2,"101,202",0.872952,0.268334,0.002357,0.378325,0.003577
Llama-3.2-1B,gold_supporting_sentences,Gold evidence,65536,3,"101,202,303",0.8149866666666666,0.4,0.0,0.513681,0.001515
Llama-3.2-1B,gold_supporting_sentences,Gold evidence,131072,1,101,0.740345,0.413333,0.0,0.521898,0.0
Llama-3.2-1B,gold_supporting_sentences,Gold evidence,262144,3,"101,202,303",0.6806873333333333,0.412222,0.003849,0.527389,0.001899
Llama-3.2-1B,gold_plus_3_distractors,Gold + 3 distractors,65536,2,"101,202",0.899586,0.351667,0.007071,0.465862,0.0055
Llama-3.2-1B,gold_plus_3_distractors,Gold + 3 distractors,262144,2,"101,202",0.7333054999999999,0.35,0.004714,0.464726,0.003664
