model_label,interface_name,interface_label,train_size,updates,final_eval_loss,exact_match,f1,answer_contained,avg_prompt_tokens,truncated_count,source_summary
Llama-3.2-1B,raw_context,Raw context,500,32,0.898704,0.266667,0.379492,0.3,1427.7066666666667,1,rank_sweep/hotpotqa_lora_rank_sweep_summary.json
Llama-3.2-1B,raw_support_first,Support first,500,32,0.636107,0.41,0.538658,0.443333,1427.7066666666667,1,rank_sweep/hotpotqa_evidence_quality_lora_r8_summary.json
Llama-3.2-1B,gold_supporting_sentences,Gold evidence,500,32,0.557893,0.47,0.604591,0.533333,157.93333333333334,0,rank_sweep/hotpotqa_lora_rank_sweep_summary.json
Llama-3.2-3B,raw_context,Raw context,500,32,0.58819,0.423333,0.555237,0.483333,1427.7066666666667,1,rank_sweep/hotpotqa_larger_model_3b_raw_n500_summary.json
Llama-3.2-3B,raw_support_first,Support first,500,32,0.552398,0.536667,0.693329,0.603333,1427.7066666666667,1,rank_sweep/hotpotqa_larger_model_3b_support_first_n500_summary.json
Llama-3.2-3B,gold_supporting_sentences,Gold evidence,500,32,0.468454,0.576667,0.72921,0.646667,157.93333333333334,0,rank_sweep/hotpotqa_larger_model_3b_gold_n500_summary.json
Llama-3.1-8B,raw_context,Raw context,500,32,0.5299180812202394,0.5366666666666666,0.6645776815776816,0.5666666666666667,1427.7066666666667,1,rank_sweep/hotpotqa_8b_r8_n500_key_summary.json
Llama-3.1-8B,raw_support_first,Support first,500,32,0.4567477451451123,0.5833333333333334,0.7281423761423761,0.6166666666666667,1427.7066666666667,1,rank_sweep/hotpotqa_8b_r8_n500_key_summary.json
Llama-3.1-8B,gold_supporting_sentences,Gold evidence,500,32,0.3837815364263952,0.6233333333333333,0.7519309579309579,0.6666666666666666,157.93333333333334,0,rank_sweep/hotpotqa_8b_r8_n500_key_summary.json
